typeofcrop,geometry
Paddy,POINT (78.96027908333335 18.092931916666675)
Paddy,POINT (78.95186316666663 18.09244050000001)
Paddy,POINT (78.86033175000003 18.065496749999998)
Paddy,POINT (78.87362166666665 18.019767)
Paddy,POINT (78.66677458333335 18.03988783333334)
Paddy,POINT (78.29589420999999 18.409745074999996)
Paddy,POINT (78.60520533333334 17.97062333333333)
Paddy,POINT (78.27980858 18.419001894999997)
Paddy,POINT (78.279788935 18.41894294)
Paddy,POINT (78.27958466499999 18.41811904)
Paddy,POINT (78.27549813000002 18.40080346)
PADDY,POINT (78.27643470499999 18.39974914500001)
Paddy,POINT (78.79388466666667 18.05988366666667)
Paddy,POINT (78.797651 18.060239250000002)
Paddy,POINT (78.27732284499999 18.39899668)
Paddy,POINT (78.80056416666666 18.06025383333333)
Paddy,POINT (78.124372665 18.304866795)
Paddy,POINT (78.12445846 18.305099)
Paddy,POINT (78.12343280500002 18.28672603)
Paddy,POINT (78.129830095 18.288375585000004)
Paddy,POINT (78.13910002999998 18.262712355000005)
Paddy,POINT (78.19152166000002 18.413702594999997)
Paddy,POINT (78.14613259500001 18.260625179999998)
Paddy,POINT (78.15574401 18.243549035)
Paddy,POINT (79.268321475 18.072161115)
Paddy,POINT (79.26721898000002 18.063586249999993)
Paddy,POINT (79.26721276499998 18.06359262)
Paddy,POINT (79.11465650000001 18.11107941666667)
Paddy,POINT (78.88834908333331 18.16299)
Paddy,POINT (78.16865792 18.222814024999998)
Paddy,POINT (79.10436333333334 18.109186750000003)
Paddy,POINT (79.25458871 18.068472934999996)
Paddy,POINT (78.178564695 18.223989339999996)
Paddy,POINT (79.10312474999998 18.11888933333333)
Paddy,POINT (79.238726945 18.066104935000002)
Paddy,POINT (78.18234275500001 18.236383855000003)
Paddy,POINT (79.10923299999997 18.139798999999996)
Paddy,POINT (78.15183040500001 18.228679509999996)
Paddy,POINT (78.12720329 18.365972059999997)
Paddy,POINT (78.14148598 18.230712755)
Paddy,POINT (78.145388565 18.221830355)
Paddy,POINT (79.10251874999997 18.178256916666673)
Paddy,POINT (78.11849605500001 18.357406655)
Paddy,POINT (78.11913172500002 18.360559720000005)
Paddy,POINT (78.12347319999999 18.239864615000002)
Paddy,POINT (78.11271841500002 18.236367675000004)
Paddy,POINT (78.10552509 18.253582490000003)
Paddy,POINT (78.90771708333331 18.168772999999998)
Paddy,POINT (79.12573516666669 18.224281666666666)
Paddy,POINT (78.10911926000001 18.26141678)
Paddy,POINT (78.91539208333337 18.19902658333334)
Paddy,POINT (78.1100576 18.272639125)
Paddy,POINT (79.14401099999999 18.23749416666667)
Paddy,POINT (78.91652500000002 18.23327791666666)
Paddy,POINT (78.106445645 18.288269594999996)
Paddy,POINT (78.099664635 18.294865609999995)
Paddy,POINT (78.103792185 18.304480920000003)
Paddy,POINT (78.09568550999998 18.311645340000002)
Paddy,POINT (78.09256385 18.319906789999997)
Paddy,POINT (78.10108051499999 18.391594675000004)
Paddy,POINT (78.86019933333333 18.22482958333333)
Paddy,POINT (79.18666674500001 18.110096155)
Paddy,POINT (79.19092645999999 18.069770724999994)
Paddy,POINT (79.19041788499997 18.054464929999995)
Paddy,POINT (78.018553675 18.363038454999998)
Paddy,POINT (79.20118705 18.044230095)
Paddy,POINT (79.07521200000002 18.106930916666663)
Paddy,POINT (79.201173105 18.044194495000003)
Paddy,POINT (79.06035866666664 18.104560749999994)
Paddy,POINT (77.935136105 18.382234999999998)
Paddy,POINT (77.91552823499998 18.378957525)
Paddy,POINT (79.04241258333329 18.114911916666667)
Paddy,POINT (77.90378852499997 18.37063003500001)
Paddy,POINT (79.02821699999998 18.111442500000006)
Paddy,POINT (77.873405995 18.361584829999998)
Paddy,POINT (79.0202006666667 18.121509083333336)
Paddy,POINT (77.87585252999997 18.352500659999997)
Paddy,POINT (79.02502149999998 18.128519749999995)
Paddy,POINT (79.22624948999999 18.003016834999997)
Paddy,POINT (79.02313783333331 18.133359583333327)
Paddy,POINT (79.02504291666665 18.135516916666663)
Paddy,POINT (77.86658141500001 18.346287649999997)
Paddy,POINT (79.0260255833333 18.155297583333343)
Paddy,POINT (79.20764651499996 18.022433284999995)
Paddy,POINT (79.21427627000001 18.037235315000004)
Paddy,POINT (79.04380866666666 18.179102083333333)
Paddy,POINT (79.04418683333334 18.188396083333338)
Paddy,POINT (79.19464858333336 18.040143083333334)
Paddy,POINT (79.04420258333332 18.188406916666658)
Paddy,POINT (79.19151941666664 18.04487841666666)
Paddy,POINT (77.84679203500002 18.347727465)
Paddy,POINT (79.0799296666667 18.162185083333338)
Paddy,POINT (79.18356408333335 18.039765166666662)
Paddy,POINT (79.07890241666668 18.15845608333333)
Paddy,POINT (77.84632078 18.328703229999995)
Paddy,POINT (79.07701175000001 18.152141500000006)
Paddy,POINT (79.07560391666667 18.146403000000007)
Paddy,POINT (77.84674823000002 18.295886685)
Paddy,POINT (79.16342791666668 18.022041833333333)
