geometry,typeofcrop
POINT (72.29459128 22.619004009999998),Wheat
POINT (72.28659323500003 22.607988765),Wheat
POINT (71.592485285 22.550627310000003),Wheet
POINT (72.27668098499998 22.597748035000006),Wheat
POINT (72.171202255 23.85768260999999),Wheat
POINT (71.61680284500002 22.556494370000003),Wheat
POINT (71.623256645 22.557540075000002),Wheat
POINT (72.20090660499999 23.863254095000002),Wheat
POINT (73.97532158499999 22.961999434999996),WHEAT
POINT (71.609567695 22.58097581),Wheat
POINT (71.61193582999998 22.61613735499999),Wheat
POINT (72.054501895 23.286672875),Wheat
POINT (73.97567502499999 22.964042530000004),WHEAT
POINT (72.23355969000002 23.87067973000001),Wheat
POINT (73.51065804999999 23.58996743),Wheat
POINT (73.49616404500003 23.652251594999996),Wheat
POINT (72.97016493000002 23.582735565),Wheat
POINT (73.14311961000001 23.522890929999996),Wheat
POINT (73.298339095 23.529670919999994),Wheat
POINT (73.462229925 23.48557318500001),Wheat
POINT (73.46767476000002 23.488968945),Wheat
POINT (73.46764198500001 23.489138405),Wheat
POINT (73.45859585500003 23.454669614999997),Wheat
POINT (73.91198025000001 22.990556715000004),Wheat
POINT (71.900380415 23.743115545000002),WHEAT
POINT (73.45585502499999 23.45447136),Wheat
POINT (73.98050191666671 23.026158250000005),Weat
POINT (71.87246381999998 23.740475174999993),WHEAT
POINT (72.87263228000002 23.293609055000008),WHEAT
POINT (73.02782399999998 22.64647608333334),Wheat
POINT (72.868679555 23.29287664),WHEAT
POINT (74.08318074999998 22.88018083333333),Wheat
POINT (72.83821332 23.306004684999998),WHEAT
POINT (73.02880133333332 22.653234416666667),Wheat
POINT (72.83813100500001 23.310552925000007),WHEAT
POINT (74.08313925 22.880106250000004),Wheat
POINT (73.02970408333333 22.66407208333332),Wheat
POINT (73.03027324999998 22.67675066666667),Wheat
POINT (72.15512886999997 23.88545722499999),Wheat
POINT (73.93650742499997 22.986440925),Wheat
POINT (72.15500888 23.893541155),WHEAT
POINT (71.88160390499999 23.663036840000004),WHEAT
POINT (73.04257959999998 23.00806519999999),Wheat
POINT (72.15500447499998 23.893542864999993),WHEAT
POINT (72.154022885 23.928419995000006),WHEAT
POINT (72.16118539 23.937341800000006),WHEAT
POINT (71.8503096 23.598376105),WHEAT
POINT (73.07561156149998 23.3923061475),Wheat
POINT (73.042620155 23.008032000000004),Wheat
POINT (73.94327848499998 23.002362835000007),Wheat
POINT (72.160759695 23.95860246),WHEAT
POINT (72.16031528000002 23.976027779999995),WHEAT
POINT (71.81018500999997 23.54619305000001),WHEAT
POINT (72.16032011 23.976025044999993),WHEAT
POINT (71.81074048000002 23.545917135000007),WHEAT
POINT (72.13723345999999 23.993669720000007),WHEAT
POINT (73.301358965 23.51940091500001),Wheat
POINT (73.94624011500004 23.00590494000001),Wheat
POINT (73.31264828 23.56710702),Wheat
POINT (73.167782362 23.214283517000002),Wheat
POINT (73.16764644900002 23.214377753),Wheat
POINT (73.3372425 23.628157650000002),Wheat
POINT (73.13526133149999 23.215722582),Wheat
POINT (73.34703175999998 23.651537969999996),Wheat
POINT (73.12919679250001 23.201242094499996),Wheat
POINT (73.364777755 23.665863729999998),Wheat
POINT (74.01804404500001 22.76960779499999),Wheat
POINT (73.03832550000001 22.69254258333333),Wheat
POINT (73.36739537000001 23.6817926),Wheat
POINT (72.70325197000003 22.522969984999992),Wheat
POINT (72.116370725 24.002407920000003),WHEAT
POINT (72.69279653499997 22.516766895000007),Wheat
POINT (72.68975787499998 22.514541075000004),Wheat
POINT (73.98058066666667 23.026554083333334),Wheat
POINT (73.36814628999998 23.642614539999997),Wheat
POINT (72.598606738 22.399159141),Wheat
POINT (70.56401386999998 21.020243945000004),Wheat (CCE)
POINT (74.02142610000003 22.764552939999994),Wheat
POINT (74.018337285 22.961078545),Wheat
POINT (73.92756293499997 22.845494000000006),Wheat
POINT (72.20736098 24.053914470000002),WHEAT
